S. No.,Odorant Materials,Psychophysiological Changes,Reference
1,Rosemary and geranium oil,Geranium oil inhalation—both state and trait scores were significantly lowered.,[113]
2,"Ylang-ylang, orange, geranium, cypress, bergamot, spearmint, and juniper",Cypress produced favorable impression after physical work and juniper produced favorable impression after mental work.,[114]
3,Orange,"Relaxant effect—lower level of state anxiety, a more positive mood, and a higher level of calmness.",[115]
4,"Rose, jasmine and lavender",Inhalation of favorite odors suppresses the muscle sympathetic vasoconstrictor activity and attenuates the blood pressure increase by affecting the central nervous system higher than the midbrain.,[116]
5,Enantiomers of limonene and carvone,Carvone—subjective restlessness. Prolonged inhalation of fragrances influences autonomic nervous system parameters as well as mental and emotional conditions.,[120]
6,"Peppermint, jasmine, ylang-ylang, 1,8-cineole and menthol",Essentials oils or their components on basic forms of attention behavior are mainly psychological.,[119]
7,Lavender,Lavender odorants were associated with reduced mental stress and increased arousal rate.,[122]
8,Peppermint,Enhanced physical performance and generating more push-ups and running faster.,[135]
9,"Isovaleric acid, thiophenol, pyridine, l-menthol, isoamyl acetate, and 1,8-cineole",Autonomic variations in response to olfactory stimuli—along two main dimensions of pleasantness and arousal.,[118]
10,"Pepper oil, estragon oil, fennel oil or grapefruit oil, rose oil or patchouli oil",Fragrance inhalation of rose oil or patchouli oil caused a 40% decrease in relative sympathetic activity.,[117]
11,Lavender oil,Treatment of agitated behavior in patients with severe dementia.,[123]
12,"Peppermint oil, jasmine oil and dimethyl sulfide",Peppermint odor reduced received work load and effort and increased self-evaluated physical performance and energy.,[136]
13,Lavender and rosemary oils,Lavender produced a significant decrease in performance of working memory. Rosemary produced a significant enhancement of performance for overall quality of memory.,[124]
14,Rosemary and lavender oils,"Both rosemary and lavender scents were associated with lower mean ratings on the fatigue-inertia subscale, relative to the control group.",[125]
15,Lavender and neroli,"Relaxing odors decreased heart rate and skin conductance, with stimulating odors producing reverse effects under equivalent conditions.",[126]
16,Lavender and rosemary oils,Alter affective appraisal of the experience and consequent retrospective evaluation of treatment-related pain.,[127]
17,Lavender oil,Increased the percentage of deep or slow-wave sleep in men and women and decreased rapid-eye movement sleep.,[128]
18,Peppermint oil,"Reduced fatigue and improved mood and was rated as more pleasant, intense, stimulating, and elating than water.",[137]
19,Synthetic peppermint odor,Performance improvement in the presence of peppermint odor when the response mapping was incompatible but not in the compatible condition.,[139]
20,"Jasmine tea, lavender, (R)-(−)-linalool and (S)-(+)-linalool","Jasmine tea, lavender and (R)-(−)-linalool increased positive mood state.",[152]
21,Orange and lavender,Reduced anxiety and improved mood in patients waiting for dental treatment.,[129]
22,Peppermint oil,"Daytime sleepiness, peppermint oil can indeed reduce sleepiness.",[140]
23,Lavender and Jasmine,During recesses—higher concentration levels for lavender group,[133]
24,Ylang-ylang oil,More calm and more relaxed.,[142]
25,Chewing and caffeine,Caffeine led to improved speed and accuracy on cognitive tasks and increased alertness when compared with chewing.,[141]
26,Essential oil of Roman chamomile,Sedative effect,[143]
27,"Lavender, chamomile, rosemary, and lemon",Aromatherapy massage exerts positive effects on anxiety and self-esteem.,[134]
28,With or without lavender-scented bath oil,"Mothers—more relaxed, and smiled. Infants—cried less and spent more time in deep sleep.",[130]
29,Lavender,Increased relaxation.,[131]
30,Lavender and chocolate odors,Ortho- and retronasal odor presentation—route of odor presentation has direct implications for the enjoyment of foods and drinks.,[145]
31,"Ylang-ylang aroma, peppermint aroma","Peppermint enhanced memory whereas ylang-ylang impaired it, peppermint increased alertness and ylang-ylang decreased it.",[141]
32,Aroma of heliotropin,Reduced sleepiness and improved refreshment at awakening for participants who suffered from insomniac symptoms.,[146]
33,Lavender oil,Reduced the stress levels and the pain intensity of needle insertion.,[132]
34,"1,8-Cineole following exposure to rosemary aroma","Cognitive tasksare significantly related to concentration of absorbed 1,8-cineole following exposure to rosemary aroma.",[147]
35,Eucalyptus oil,Pain and inflammatory responses after total knee replacement.,[148]
36,Bergamot essential oil and synthetic oil,Relieved work-related stress of teachers with various workloads and had a weak effect on young teachers who had a heavy workload.,[149]
37,Peppermint oil,"Relaxation of bronchial smooth muscles, increased ventilation and brain oxygen concentration, and decreased blood lactate level.",[138]
38,"Basil, bergamot, cardamom, cinnamon, juniper, lemon, orange, plamarosa, peppermint, sandalwood, spearmint and ylang-ylang",Essential oils may have versatile psychophysiological potencies.,[150]
